Type,Hourly,,,,,,,,,,,,,,,,,,,
Date,20/05/15,,,,,,,,,,,,,,,,,,,
Exported At,22/05/2015 12:02 CEST,,,,,,,,,,,,,,,,,,,
Member,Dong Energy Thermal Power A/S,,,,,,,,,,,,,,,,,,,
Portfolio,DK-DK1-DETP,,,,,,,,,,,,,,,,,,,
Area,Denmark 1,,,,,,,,,,,,,,,,,,,
Currency,DKK,,,7.456,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Price Steps (EUR),-500,-60.10,-60.00,0.00,0.10,18.00,18.10,31.00,31.10,32.00,32.10,33.00,33.10,36.00,36.10,39.00,39.10,53.00,53.10,3000
Price Steps (DKK),-4000,-450,-449,0,1,136,137,232,233,245,246,250,251,268,269,293,294,396,397,24000
Hour 1,173.4,173.4,173.4,173.4,145.4,145.4,145.4,145.4,-45.4,-45.4,-310.2,-310.2,-310.2,-310.2,-333.2,-333.2,-333.2,-333.2,-760.2,-760.2
Hour 2,174.4,174.4,173.2,173.2,139.5,139.5,139.5,139.5,-51.1,-51.1,-310.3,-310.3,-310.3,-310.3,-333.3,-333.3,-333.3,-333.3,-760.3,-760.3
Hour 3,148.7,148.7,44.9,44.9,22.2,22.2,22.2,22.2,-168.2,-168.2,-280.9,-280.9,-280.9,-280.9,-303.9,-303.9,-303.9,-303.9,-730.9,-730.9
Hour 4,146.7,146.7,33.5,33.5,12.4,12.4,12.4,12.4,-178.1,-178.1,-278.4,-278.4,-278.4,-278.4,-301.4,-301.4,-301.4,-301.4,-728.4,-728.4
Hour 5,174.9,174.9,124.5,124.5,100.4,100.4,100.4,100.4,-90.6,-90.6,-273.7,-273.7,-273.7,-273.7,-296.7,-296.7,-296.7,-296.7,-723.7,-723.7
Hour 6,174.4,174.4,137.9,137.9,123.8,123.8,123.8,123.8,-67.2,-67.2,-269.4,-269.4,-269.4,-269.4,-292.4,-292.4,-292.4,-292.4,-719.4,-719.4
Hour 7,210,210,210,210,201.8,201.8,201.8,201.8,-23.2,-23.2,-261.2,-261.2,-261.2,-261.2,-261.2,-261.2,-291.2,-291.2,-718.2,-718.2
Hour 8,354,354,304,304,298.2,298.2,298.2,298.2,73.2,73.2,-165.5,-165.5,-165.5,-165.5,-165.5,-165.5,-195.5,-195.5,-555.5,-555.5
Hour 9,346.7,346.7,296.7,296.7,294.2,294.2,294.2,294.2,69.2,69.2,-169.5,-169.5,-169.5,-169.5,-169.5,-169.5,-199.5,-199.5,-559.5,-559.5
Hour 10,356.2,356.2,306.2,306.2,302,302,294.5,294.5,69.5,69.5,-169.2,-169.2,-169.2,-169.2,-169.2,-169.2,-199.2,-199.2,-559.2,-559.2
Hour 11,353.5,353.5,303.5,303.5,296.9,296.9,262.2,262.2,37.2,37.2,-201.5,-201.5,-201.5,-201.5,-201.5,-201.5,-231.5,-231.5,-591.5,-591.5
Hour 12,319,319,269,269,264.4,264.4,229.3,229.3,4.3,4.3,-234.4,-234.4,-234.4,-234.4,-234.4,-234.4,-264.4,-264.4,-624.4,-624.4
Hour 13,290.1,290.1,240.1,240.1,236.3,236.3,205.1,205.1,14.1,14.1,-258.6,-258.6,-258.6,-258.6,-281.6,-281.6,-281.6,-281.6,-641.6,-641.6
Hour 14,262.2,262.2,212.2,212.2,208.5,208.5,179.3,179.3,-11.7,-11.7,-284.4,-284.4,-284.4,-284.4,-307.4,-307.4,-307.4,-307.4,-667.4,-667.4
Hour 15,247.3,247.3,197.3,197.3,196.8,196.8,167.8,167.8,-23.2,-23.2,-295.9,-295.9,-295.9,-295.9,-318.9,-318.9,-318.9,-318.9,-678.9,-678.9
Hour 16,169.6,169.6,119.6,119.6,118.9,118.9,89.9,89.9,-135.1,-135.1,-366.4,-366.4,-366.4,-366.4,-366.4,-366.4,-396.4,-396.4,-756.4,-756.4
Hour 17,203.3,203.3,153.3,153.3,152.3,152.3,123.3,123.3,-101.7,-101.7,-340.4,-340.4,-340.4,-340.4,-340.4,-340.4,-370.4,-370.4,-730.4,-730.4
Hour 18,206.2,206.2,156.2,156.2,155.3,155.3,126.3,126.3,-98.7,-98.7,-337.4,-337.4,-337.4,-337.4,-337.4,-337.4,-367.4,-367.4,-727.4,-727.4
Hour 19,275.4,275.4,225.4,225.4,223.8,223.8,193.6,193.6,2.6,2.6,-270.1,-270.1,-270.1,-270.1,-293.1,-293.1,-293.1,-293.1,-653.1,-653.1
Hour 20,361.4,361.4,311.4,311.4,309.4,309.4,274.3,274.3,49.3,49.3,-189.4,-189.4,-189.4,-189.4,-189.4,-189.4,-219.4,-219.4,-579.4,-579.4
Hour 21,364,364,314,314,311,311,283.5,283.5,58.5,58.5,-180.2,-180.2,-180.2,-180.2,-180.2,-180.2,-210.2,-210.2,-570.2,-570.2
Hour 22,330.2,330.2,280.2,280.2,276.5,276.5,276.3,276.3,51.3,51.3,-187.4,-187.4,-187.4,-187.4,-187.4,-187.4,-217.4,-217.4,-577.4,-577.4
Hour 23,236.7,236.7,236.7,236.7,233.1,233.1,233.1,233.1,42.1,42.1,-230.6,-230.6,-230.6,-230.6,-253.6,-253.6,-253.6,-253.6,-680.6,-680.6
Hour 24,151.2,151.2,151.2,151.2,148.8,148.8,148.8,148.8,-76.2,-76.2,-76.2,-76.2,-312.6,-312.6,-312.6,-312.6,-342.6,-342.6,-769.6,-769.6
