Type,Trade Results - Schedule,,,,
Date,20/05/15,,,,
Exported At,22/05/2015 12:02 CEST,,,,
Member,Dong Energy Thermal Power A/S,,,,
Portfolio,All Portfolios,,,,
Area,Denmark 1,,,,
Currency,DKK,,,,
Exchange Rate,7.456,,,,
,,,,,
,Total (MW),Area Price (DKK),System Price (DKK),Area Price (EUR),System Price (EUR)
Hour 1,145.4,149.34,145.32,20.03,19.49
Hour 2,139.5,152.7,140.02,20.48,18.78
Hour 3,22.2,149.79,134.13,20.09,17.99
Hour 4,12.4,140.47,133.39,18.84,17.89
Hour 5,100.4,154.64,139.5,20.74,18.71
Hour 6,123.8,212.42,149.87,28.49,20.10
Hour 7,-57.7,241.95,192.07,32.45,25.76
Hour 8,-165.5,267.3,218.83,35.85,29.35
Hour 9,-169.5,264.69,222.64,35.50,29.86
Hour 10,-169.2,260.36,222.93,34.92,29.90
Hour 11,-201.5,258.65,221.97,34.69,29.77
Hour 12,-234.4,254.25,219.73,34.10,29.47
Hour 13,-258.6,259.62,222.79,34.82,29.88
Hour 14,-284.4,259.77,222.49,34.84,29.84
Hour 15,-295.9,259.25,220.7,34.77,29.60
Hour 16,-366.4,249.48,213.61,33.46,28.65
Hour 17,-340.4,248.21,209.44,33.29,28.09
Hour 18,-337.4,249.78,209.81,33.50,28.14
Hour 19,-270.1,251.42,216.15,33.72,28.99
Hour 20,-189.4,245.75,201.83,32.96,27.07
Hour 21,-143.6,242.62,196.47,32.54,26.35
Hour 22,-85.3,242.32,196.02,32.50,26.29
Hour 23,42.1,238.07,194.23,31.93,26.05
Hour 24,148.8,219.88,171.79,29.49,23.04
